episodes,% time spent exploring,mean 100 episode reward,steps,reward
2,10,14.0,13,14.0
3,10,17.0,33,20.0
4,10,15.0,44,11.0
5,10,15.8,62,18.0
6,10,14.8,73,11.0
7,10,16.7,99,26.0
8,10,16.4,114,15.0
9,10,16.1,128,14.0
10,10,15.7,140,12.0
11,10,16.3,162,22.0
12,10,15.7,172,10.0
13,10,15.9,190,18.0
14,10,16.5,213,23.0
15,10,17.1,239,26.0
16,10,17.5,261,22.0
17,10,17.6,281,20.0
18,10,17.9,303,22.0
19,10,17.4,312,9.0
20,10,17.3,328,16.0
21,10,17.0,340,12.0
22,10,17.7,371,31.0
23,10,17.9,393,22.0
24,10,18.0,412,19.0
25,10,17.7,424,12.0
26,10,17.3,432,8.0
27,10,17.1,444,12.0
28,10,16.9,455,11.0
29,10,16.6,463,8.0
30,10,17.3,501,38.0
31,10,17.2,516,15.0
32,10,17.6,544,28.0
33,10,17.5,560,16.0
34,10,17.5,576,16.0
35,10,18.2,618,42.0
36,10,18.1,632,14.0
37,10,18.1,652,20.0
38,10,18.1,670,18.0
39,10,18.4,699,29.0
40,10,18.5,719,20.0
41,10,18.4,733,14.0
42,10,18.2,747,14.0
43,10,18.1,759,12.0
44,10,18.1,776,17.0
45,10,18.5,812,36.0
46,10,18.8,845,33.0
47,10,19.1,877,32.0
48,10,19.3,907,30.0
49,10,19.2,921,14.0
50,10,19.4,950,29.0
51,10,19.9,996,46.0
52,10,19.8,1009,13.0
53,10,19.6,1020,11.0
54,10,19.5,1030,10.0
55,10,19.3,1040,10.0
56,10,19.1,1049,9.0
57,10,19.1,1067,18.0
58,10,19.2,1091,24.0
59,10,19.4,1125,34.0
60,10,19.4,1143,18.0
61,10,19.3,1159,16.0
62,10,19.4,1180,21.0
63,10,19.3,1196,16.0
64,10,19.4,1223,27.0
65,10,19.7,1258,35.0
66,10,19.5,1267,9.0
67,10,19.4,1281,14.0
68,10,19.9,1335,54.0
69,10,19.8,1345,10.0
70,10,19.7,1355,10.0
71,10,19.6,1369,14.0
72,10,19.6,1392,23.0
73,10,19.5,1402,10.0
74,10,19.4,1413,11.0
75,10,19.2,1422,9.0
76,10,19.1,1435,13.0
77,10,19.1,1449,14.0
78,10,19.0,1461,12.0
79,10,18.9,1475,14.0
80,10,18.9,1490,15.0
81,10,18.8,1502,12.0
82,10,18.7,1511,9.0
83,10,18.9,1545,34.0
84,10,18.9,1569,24.0
85,10,18.9,1585,16.0
86,10,18.8,1599,14.0
87,10,18.7,1609,10.0
88,10,18.6,1620,11.0
89,10,18.5,1629,9.0
90,10,18.4,1639,10.0
91,10,18.3,1649,10.0
92,10,18.3,1660,11.0
93,10,18.2,1669,9.0
94,10,18.1,1680,11.0
95,10,18.0,1688,8.0
96,10,17.9,1697,9.0
97,10,17.8,1706,9.0
98,10,17.7,1717,11.0
99,10,17.7,1729,12.0
100,10,17.6,1739,10.0
101,10,17.5,1750,11.0
102,10,17.5,1761,11.0
103,10,17.4,1777,16.0
104,10,17.5,1791,14.0
105,10,17.4,1802,11.0
106,10,17.4,1811,9.0
107,10,17.2,1820,9.0
108,10,17.1,1828,8.0
109,10,17.1,1836,8.0
110,10,17.1,1846,10.0
111,10,16.9,1854,8.0
112,10,16.9,1865,11.0
113,10,16.8,1875,10.0
114,10,16.7,1887,12.0
115,10,16.6,1899,12.0
116,10,16.5,1910,11.0
117,10,16.4,1922,12.0
118,10,16.3,1931,9.0
119,10,16.3,1942,11.0
120,10,16.2,1952,10.0
121,10,16.2,1961,9.0
122,10,16.0,1970,9.0
123,10,15.9,1982,12.0
124,10,15.8,1992,10.0
125,10,15.8,2001,9.0
126,10,16.0,2030,29.0
127,10,16.0,2039,9.0
128,10,15.9,2048,9.0
129,10,16.0,2058,10.0
130,10,15.7,2068,10.0
131,10,15.6,2077,9.0
132,10,15.4,2088,11.0
133,10,15.4,2097,9.0
134,10,15.3,2106,9.0
135,10,15.0,2117,11.0
136,10,15.0,2128,11.0
137,10,14.9,2138,10.0
138,10,14.8,2146,8.0
139,10,14.6,2157,11.0
140,10,14.5,2169,12.0
141,10,14.5,2181,12.0
142,10,14.4,2192,11.0
143,10,14.4,2202,10.0
144,10,14.4,2215,13.0
145,10,14.1,2224,9.0
146,10,13.9,2234,10.0
147,10,13.7,2247,13.0
148,10,13.5,2256,9.0
149,10,13.5,2267,11.0
150,10,13.3,2277,10.0
151,10,12.9,2288,11.0
152,10,12.9,2297,9.0
153,10,12.9,2307,10.0
154,10,12.9,2316,9.0
155,10,12.8,2325,9.0
156,10,12.8,2334,9.0
157,10,12.8,2345,11.0
158,10,12.6,2355,10.0
159,10,12.4,2366,11.0
160,10,12.3,2375,9.0
161,10,12.3,2385,10.0
162,10,12.1,2394,9.0
163,10,12.1,2406,12.0
164,10,11.9,2416,10.0
165,10,11.7,2426,10.0
166,10,11.7,2436,10.0
167,10,11.6,2445,9.0
168,10,11.2,2454,9.0
169,10,11.2,2463,9.0
170,10,11.2,2474,11.0
171,10,11.2,2486,12.0
172,10,11.0,2494,8.0
173,10,11.0,2503,9.0
174,10,11.0,2514,11.0
175,10,11.0,2524,10.0
176,10,11.0,2534,10.0
177,10,11.0,2546,12.0
178,10,11.0,2556,10.0
179,10,10.9,2565,9.0
180,10,10.8,2574,9.0
181,10,10.8,2585,11.0
182,10,10.8,2596,11.0
183,10,10.6,2605,9.0
184,10,10.5,2615,10.0
185,10,10.4,2625,10.0
186,10,10.3,2633,8.0
187,10,10.4,2644,11.0
188,10,10.4,2655,11.0
189,10,10.4,2664,9.0
190,10,10.4,2674,10.0
191,10,10.4,2684,10.0
192,10,10.3,2692,8.0
193,10,10.3,2702,10.0
194,10,10.3,2710,8.0
195,10,10.3,2720,10.0
196,10,10.3,2729,9.0
197,10,10.3,2739,10.0
198,10,10.3,2747,8.0
199,10,10.3,2757,10.0
200,10,10.3,2765,8.0
201,10,10.2,2775,10.0
202,10,10.2,2785,10.0
203,10,10.2,2796,11.0
204,10,10.2,2807,11.0
205,10,10.2,2818,11.0
206,10,10.2,2827,9.0
207,10,10.2,2836,9.0
208,10,10.2,2845,9.0
209,10,10.2,2858,13.0
210,10,10.2,2866,8.0
211,10,10.2,2877,11.0
212,10,10.2,2886,9.0
213,10,10.2,2896,10.0
214,10,10.2,2904,8.0
215,10,10.1,2913,9.0
216,10,10.1,2923,10.0
217,10,10.1,2933,10.0
218,10,10.1,2944,11.0
219,10,10.1,2956,12.0
220,10,10.1,2966,10.0
221,10,10.2,2976,10.0
222,10,10.2,2986,10.0
223,10,10.1,2995,9.0
224,10,10.1,3006,11.0
225,10,10.2,3016,10.0
226,10,10.0,3025,9.0
227,10,10.0,3035,10.0
228,10,10.0,3044,9.0
229,10,10.0,3054,10.0
230,10,10.0,3067,13.0
231,10,10.0,3080,13.0
232,10,10.0,3090,10.0
233,10,10.1,3103,13.0
234,10,10.1,3116,13.0
235,10,10.1,3129,13.0
236,10,10.1,3139,10.0
237,10,10.1,3148,9.0
238,10,10.1,3158,10.0
239,10,11.4,3297,139.0
240,10,12.3,3396,99.0
241,10,12.3,3407,11.0
242,10,12.3,3418,11.0
243,10,12.3,3431,13.0
244,10,12.2,3440,9.0
245,10,12.3,3452,12.0
246,10,12.3,3461,9.0
247,10,12.3,3473,12.0
248,10,12.3,3485,12.0
249,10,12.9,3555,70.0
250,10,14.3,3711,156.0
251,10,14.7,3762,51.0
252,10,16.1,3907,145.0
253,10,17.4,4051,144.0
254,10,19.2,4234,183.0
255,10,21.1,4434,200.0
256,10,23.0,4634,200.0
257,10,24.4,4784,150.0
258,10,26.2,4973,189.0
259,10,28.1,5173,200.0
260,10,29.6,5333,160.0
261,10,30.8,5470,137.0
262,10,32.5,5642,172.0
263,10,33.7,5779,137.0
264,10,35.2,5940,161.0
265,10,36.8,6102,162.0
266,10,38.7,6302,200.0
267,10,40.6,6502,200.0
268,10,41.8,6639,137.0
269,10,43.4,6803,164.0
270,10,45.0,6972,169.0
271,10,46.9,7172,200.0
272,10,47.3,7224,52.0
273,10,49.0,7407,183.0
274,10,50.4,7552,145.0
275,10,52.0,7723,171.0
276,10,53.7,7902,179.0
277,10,55.2,8071,169.0
278,10,57.1,8270,199.0
279,10,59.0,8470,200.0
280,10,60.5,8628,158.0
281,10,62.0,8781,153.0
282,10,63.2,8914,133.0
283,10,65.1,9114,200.0
284,10,66.6,9271,157.0
285,10,68.0,9430,159.0
286,10,69.6,9589,159.0
287,10,69.9,9633,44.0
288,10,71.4,9793,160.0
289,10,73.3,9993,200.0
290,10,75.2,10189,196.0
291,10,77.0,10389,200.0
292,10,79.0,10589,200.0
293,10,80.6,10765,176.0
294,10,82.6,10965,200.0
295,10,84.0,11116,151.0
296,10,85.3,11261,145.0
297,10,86.6,11401,140.0
298,10,87.9,11540,139.0
299,10,89.1,11670,130.0
300,10,89.8,11743,73.0
301,10,90.9,11869,126.0
302,10,92.0,11988,119.0
303,10,93.1,12106,118.0
304,10,94.1,12216,110.0
305,10,95.3,12347,131.0
306,10,96.3,12461,114.0
307,10,97.4,12579,118.0
308,10,98.4,12687,108.0
309,10,99.4,12798,111.0
310,10,100.5,12917,119.0
311,10,101.6,13034,117.0
312,10,101.8,13065,31.0
313,10,102.0,13097,32.0
314,10,103.1,13216,119.0
315,10,104.2,13332,116.0
316,10,104.4,13364,32.0
317,10,105.1,13446,82.0
318,10,106.0,13546,100.0
319,10,106.8,13636,90.0
320,10,107.6,13723,87.0
321,10,107.7,13747,24.0
322,10,108.4,13828,81.0
323,10,109.4,13930,102.0
324,10,109.5,13960,30.0
325,10,110.1,14029,69.0
326,10,110.9,14112,83.0
327,10,110.9,14125,13.0
328,10,111.8,14228,103.0
329,10,112.0,14256,28.0
330,10,112.9,14355,99.0
331,10,113.0,14378,23.0
332,10,113.3,14422,44.0
333,10,113.3,14437,15.0
334,10,113.6,14472,35.0
335,10,113.7,14499,27.0
336,10,115.6,14699,200.0
337,10,116.5,14800,101.0
338,10,116.6,14822,22.0
339,10,115.6,14856,34.0
340,10,114.8,14874,18.0
341,10,115.1,14915,41.0
342,10,115.8,14994,79.0
343,10,116.5,15085,91.0
344,10,117.0,15135,50.0
345,10,117.8,15230,95.0
346,10,118.7,15327,97.0
347,10,119.4,15413,86.0
348,10,120.3,15517,104.0
349,10,120.7,15623,106.0
350,10,119.6,15666,43.0
351,10,119.2,15686,20.0
352,10,118.1,15718,32.0
353,10,116.9,15742,24.0
354,10,115.3,15764,22.0
355,10,113.5,15783,19.0
356,10,112.4,15877,94.0
357,10,112.0,15979,102.0
358,10,111.1,16082,103.0
359,10,110.1,16183,101.0
360,10,108.6,16194,11.0
361,10,107.6,16226,32.0
362,10,106.0,16240,14.0
363,10,104.8,16256,16.0
364,10,103.3,16274,18.0
365,10,102.0,16299,25.0
366,10,100.1,16315,16.0
367,10,98.3,16335,20.0
368,10,97.3,16367,32.0
369,10,95.8,16384,17.0
370,10,94.4,16407,23.0
371,10,93.4,16511,104.0
372,10,93.0,16529,18.0
373,10,91.4,16545,16.0
374,10,90.1,16559,14.0
375,10,88.6,16582,23.0
376,10,87.0,16605,23.0
377,10,85.5,16625,20.0
378,10,84.5,16719,94.0
379,10,83.5,16819,100.0
380,10,82.1,16837,18.0
381,10,80.8,16865,28.0
382,10,79.7,16886,21.0
383,10,78.0,16910,24.0
384,10,76.6,16930,20.0
385,10,75.2,16955,25.0
386,10,73.9,16975,20.0
387,10,73.6,16998,23.0
388,10,73.1,17103,105.0
389,10,71.3,17127,24.0
390,10,70.7,17255,128.0
391,10,68.9,17275,20.0
392,10,67.1,17298,23.0
393,10,65.6,17328,30.0
394,10,63.8,17347,19.0
395,10,62.7,17383,36.0
396,10,61.5,17410,27.0
397,10,60.4,17436,26.0
398,10,59.8,17521,85.0
399,10,59.1,17578,57.0
400,10,60.4,17778,200.0
401,10,59.5,17818,40.0
402,10,59.6,17948,130.0
403,10,59.6,18066,118.0
404,10,59.0,18121,55.0
405,10,58.0,18145,24.0
406,10,57.1,18173,28.0
407,10,56.0,18184,11.0
408,10,55.2,18206,22.0
409,10,55.1,18307,101.0
410,10,54.2,18337,30.0
411,10,53.2,18350,13.0
412,10,53.8,18445,95.0
413,10,54.0,18500,55.0
414,10,53.1,18525,25.0
415,10,52.0,18534,9.0
416,10,51.9,18555,21.0
417,10,51.3,18572,17.0
418,10,50.6,18602,30.0
419,10,49.8,18619,17.0
420,10,49.1,18631,12.0
421,10,49.0,18649,18.0
422,10,48.4,18669,20.0
423,10,47.6,18692,23.0
424,10,47.5,18707,15.0
425,10,47.0,18732,25.0
426,10,46.4,18748,16.0
427,10,46.3,18759,11.0
428,10,45.5,18775,16.0
429,10,45.4,18798,23.0
430,10,45.5,18903,105.0
431,10,45.8,18953,50.0
432,10,45.4,18967,14.0
433,10,45.4,18982,15.0
434,10,45.3,19004,22.0
435,10,46.5,19149,145.0
436,10,44.8,19181,32.0
437,10,44.0,19204,23.0
438,10,44.2,19237,33.0
439,10,45.0,19352,115.0
440,10,45.0,19372,20.0
441,10,44.7,19384,12.0
442,10,44.1,19400,16.0
443,10,44.1,19499,99.0
444,10,43.9,19523,24.0
445,10,43.1,19544,21.0
446,10,42.8,19606,62.0
447,10,42.2,19630,24.0
448,10,41.3,19648,18.0
449,10,40.5,19676,28.0
450,10,40.4,19710,34.0
451,10,40.4,19725,15.0
452,10,40.2,19742,17.0
453,10,40.3,19771,29.0
454,10,40.3,19792,21.0
455,10,40.3,19812,20.0
456,10,39.5,19829,17.0
457,10,38.7,19850,21.0
458,10,38.7,19948,98.0
459,10,37.9,19970,22.0
460,10,38.1,20000,30.0
461,10,37.9,20017,17.0
462,10,38.8,20123,106.0
463,10,39.7,20224,101.0
464,10,39.6,20235,11.0
465,10,39.6,20261,26.0
466,10,40.6,20370,109.0
467,10,40.7,20401,31.0
468,10,41.2,20489,88.0
469,10,42.3,20613,124.0
470,10,43.2,20729,116.0
471,10,43.2,20834,105.0
472,10,44.0,20926,92.0
473,10,44.7,21011,85.0
474,10,44.7,21029,18.0
475,10,44.6,21047,18.0
476,10,44.7,21072,25.0
477,10,44.7,21096,24.0
478,10,43.9,21110,14.0
479,10,43.0,21121,11.0
480,10,43.0,21136,15.0
481,10,42.9,21154,18.0
482,10,42.8,21171,17.0
483,10,42.8,21186,15.0
484,10,42.8,21205,19.0
485,10,42.7,21222,17.0
486,10,42.6,21235,13.0
487,10,42.6,21255,20.0
488,10,41.8,21278,23.0
489,10,41.7,21295,17.0
490,10,40.6,21313,18.0
491,10,40.5,21328,15.0
492,10,40.5,21351,23.0
493,10,40.4,21373,22.0
494,10,40.5,21395,22.0
495,10,40.3,21410,15.0
496,10,40.1,21424,14.0
497,10,40.1,21443,19.0
498,10,39.4,21460,17.0
499,10,39.0,21477,17.0
500,10,37.1,21492,15.0
501,10,36.9,21510,18.0
502,10,35.8,21525,15.0
503,10,34.7,21539,14.0
504,10,34.3,21552,13.0
505,10,34.2,21565,13.0
506,10,34.9,21665,100.0
507,10,35.0,21683,18.0
508,10,34.9,21698,15.0
509,10,34.1,21718,20.0
510,10,34.0,21735,17.0
511,10,34.0,21755,20.0
512,10,33.2,21770,15.0
513,10,32.8,21783,13.0
514,10,32.8,21806,23.0
515,10,32.9,21823,17.0
516,10,32.8,21833,10.0
517,10,32.8,21847,14.0
518,10,32.6,21867,20.0
519,10,32.7,21886,19.0
520,10,32.7,21901,15.0
521,10,32.7,21916,15.0
522,10,32.6,21933,17.0
523,10,32.6,21948,15.0
524,10,32.5,21961,13.0
525,10,32.5,21978,17.0
526,10,32.4,21992,14.0
527,10,32.5,22007,15.0
528,10,32.5,22024,17.0
529,10,32.4,22037,13.0
530,10,31.5,22053,16.0
531,10,31.2,22068,15.0
532,10,31.1,22081,13.0
533,10,31.2,22101,20.0
534,10,31.2,22119,18.0
535,10,29.8,22132,13.0
536,10,29.6,22145,13.0
537,10,29.6,22160,15.0
538,10,29.4,22173,13.0
539,10,28.4,22192,19.0
540,10,28.5,22220,28.0
541,10,28.6,22239,19.0
542,10,29.4,22341,102.0
543,10,28.7,22369,28.0
544,10,28.6,22387,18.0
545,10,28.6,22408,21.0
546,10,28.2,22423,15.0
547,10,28.2,22449,26.0
548,10,28.2,22470,21.0
549,10,28.2,22491,21.0
550,10,28.9,22598,107.0
551,10,28.9,22613,15.0
552,10,28.9,22636,23.0
553,10,28.8,22651,15.0
554,10,28.8,22669,18.0
555,10,28.7,22684,15.0
556,10,28.7,22701,17.0
557,10,28.7,22721,20.0
558,10,27.9,22739,18.0
559,10,27.8,22755,16.0
560,10,27.7,22768,13.0
561,10,27.7,22791,23.0
562,10,27.6,22882,91.0
563,10,26.9,22914,32.0
564,10,27.0,22938,24.0
565,10,27.1,22969,31.0
566,10,26.2,22985,16.0
567,10,26.0,23002,17.0
568,10,26.1,23098,96.0
569,10,25.8,23192,94.0
570,10,25.8,23309,117.0
571,10,25.0,23336,27.0
572,10,25.2,23444,108.0
573,10,24.5,23458,14.0
574,10,25.4,23568,110.0
575,10,26.3,23679,111.0
576,10,27.1,23779,100.0
577,10,27.8,23881,102.0
578,10,29.0,24014,133.0
579,10,30.1,24128,114.0
580,10,31.0,24231,103.0
581,10,31.7,24324,93.0
582,10,32.5,24418,94.0
583,10,33.3,24515,97.0
584,10,34.0,24609,94.0
585,10,34.8,24702,93.0
586,10,35.6,24794,92.0
587,10,36.1,24869,75.0
588,10,36.2,24899,30.0
589,10,37.1,25001,102.0
590,10,37.0,25011,10.0
591,10,37.5,25082,71.0
592,10,38.1,25158,76.0
593,10,38.8,25256,98.0
594,10,39.3,25329,73.0
595,10,39.4,25353,24.0
596,10,40.0,25429,76.0
597,10,40.8,25526,97.0
598,10,41.6,25622,96.0
599,10,42.2,25694,72.0
600,10,42.1,25705,11.0
601,10,42.8,25788,83.0
602,10,43.7,25898,110.0
603,10,43.7,25912,14.0
604,10,44.6,26011,99.0
605,10,45.5,26115,104.0
606,10,45.6,26224,109.0
607,10,45.9,26277,53.0
608,10,46.2,26320,43.0
609,10,47.0,26422,102.0
610,10,47.9,26522,100.0
611,10,47.9,26544,22.0
612,10,48.2,26594,50.0
613,10,49.0,26686,92.0
614,10,48.9,26699,13.0
615,10,49.6,26783,84.0
616,10,49.6,26797,14.0
617,10,49.6,26809,12.0
618,10,50.4,26906,97.0
619,10,51.1,26998,92.0
620,10,51.1,27010,12.0
621,10,51.1,27022,12.0
622,10,51.8,27117,95.0
623,10,51.8,27130,13.0
624,10,52.5,27211,81.0
625,10,53.0,27281,70.0
626,10,53.6,27353,72.0
627,10,54.2,27428,75.0
628,10,54.4,27469,41.0
629,10,54.4,27482,13.0
630,10,55.0,27553,71.0
631,10,55.6,27629,76.0
632,10,56.4,27724,95.0
633,10,57.0,27800,76.0
634,10,57.3,27848,48.0
635,10,57.8,27915,67.0
636,10,58.4,27989,74.0
637,10,59.3,28086,97.0
638,10,60.1,28183,97.0
639,10,60.6,28257,74.0
640,10,61.4,28361,104.0
641,10,61.9,28433,72.0
642,10,61.7,28509,76.0
643,10,62.5,28616,107.0
644,10,62.9,28681,65.0
645,10,63.4,28745,64.0
646,10,63.4,28760,15.0
647,10,63.9,28836,76.0
648,10,64.5,28918,82.0
649,10,65.1,29003,85.0
650,10,65.4,29139,136.0
651,10,66.4,29258,119.0
652,10,67.4,29372,114.0
653,10,68.3,29479,107.0
654,10,68.9,29559,80.0
655,10,69.8,29662,103.0
656,10,70.6,29756,94.0
657,10,70.7,29790,34.0
658,10,70.6,29803,13.0
659,10,71.3,29882,79.0
660,10,72.3,29994,112.0
661,10,73.0,30093,99.0
662,10,73.1,30195,102.0
663,10,73.8,30290,95.0
664,10,74.5,30389,99.0
665,10,74.9,30461,72.0
666,10,75.6,30541,80.0
667,10,75.8,30584,43.0
668,10,75.6,30657,73.0
669,10,75.3,30721,64.0
670,10,74.2,30733,12.0
671,10,75.0,30831,98.0
672,10,74.4,30881,50.0
673,10,74.4,30893,12.0
674,10,73.4,30903,10.0
675,10,72.8,30958,55.0
676,10,71.9,30972,14.0
677,10,71.5,31031,59.0
678,10,70.3,31042,11.0
679,10,69.8,31103,61.0
680,10,69.2,31152,49.0
681,10,69.2,31243,91.0
682,10,69.0,31321,78.0
683,10,68.7,31384,63.0
684,10,68.3,31438,54.0
685,10,67.9,31490,52.0
686,10,67.1,31502,12.0
687,10,67.1,31579,77.0
688,10,67.5,31650,71.0
689,10,67.3,31729,79.0
690,10,67.4,31750,21.0
691,10,67.6,31838,88.0
692,10,67.5,31908,70.0
693,10,67.3,31990,82.0
694,10,67.0,32027,37.0
695,10,67.0,32051,24.0
696,10,67.4,32170,119.0
697,10,67.7,32295,125.0
698,10,67.8,32402,107.0
699,10,68.0,32497,95.0
700,10,69.0,32602,105.0
701,10,69.1,32702,100.0
702,10,69.0,32794,92.0
703,10,68.9,32805,11.0
704,10,68.1,32819,14.0
705,10,68.1,32923,104.0
706,10,68.1,33036,113.0
707,10,68.4,33118,82.0
708,10,68.7,33191,73.0
709,10,67.8,33204,13.0
710,10,66.9,33215,11.0
711,10,67.6,33299,84.0
712,10,67.4,33339,40.0
713,10,67.1,33392,53.0
714,10,67.4,33443,51.0
715,10,66.7,33457,14.0
716,10,67.6,33559,102.0
717,10,68.4,33647,88.0
718,10,68.1,33712,65.0
719,10,68.3,33824,112.0
720,10,68.3,33839,15.0
721,10,68.3,33851,12.0
722,10,68.4,33952,101.0
723,10,68.4,33965,13.0
724,10,68.5,34062,97.0
725,10,68.9,34175,113.0
726,10,69.1,34260,85.0
727,10,68.7,34299,39.0
728,10,68.6,34334,35.0
729,10,69.3,34416,82.0
730,10,69.8,34538,122.0
731,10,69.8,34610,72.0
732,10,69.5,34671,61.0
733,10,70.1,34811,140.0
734,10,71.0,34946,135.0
735,10,71.7,35081,135.0
736,10,72.1,35195,114.0
737,10,72.2,35311,116.0
738,10,71.8,35363,52.0
739,10,71.6,35420,57.0
740,10,71.8,35537,117.0
741,10,72.0,35629,92.0
742,10,72.1,35723,94.0
743,10,71.2,35736,13.0
744,10,71.6,35846,110.0
745,10,72.5,35998,152.0
746,10,73.0,36063,65.0
747,10,73.1,36150,87.0
748,10,72.9,36211,61.0
749,10,72.7,36277,66.0
750,10,72.3,36371,94.0
751,10,71.7,36427,56.0
752,10,70.8,36454,27.0
753,10,70.6,36540,86.0
754,10,70.7,36629,89.0
755,10,70.8,36739,110.0
756,10,70.6,36817,78.0
757,10,71.2,36909,92.0
758,10,71.8,36986,77.0
759,10,71.8,37064,78.0
760,10,71.5,37142,78.0
761,10,70.9,37182,40.0
762,10,70.7,37263,81.0
763,10,70.6,37348,85.0
764,10,70.1,37403,55.0
765,10,70.3,37488,85.0
766,10,69.9,37531,43.0
767,10,70.3,37616,85.0
768,10,70.5,37703,87.0
769,10,70.7,37787,84.0
770,10,70.8,37813,26.0
771,10,69.9,37825,12.0
772,10,70.2,37905,80.0
773,10,70.8,37978,73.0
774,10,71.6,38062,84.0
775,10,72.1,38169,107.0
776,10,72.9,38260,91.0
777,10,73.1,38345,85.0
778,10,73.8,38427,82.0
779,10,74.7,38577,150.0
780,10,76.2,38773,196.0
781,10,77.3,38973,200.0
782,10,77.6,39077,104.0
783,10,77.8,39165,88.0
784,10,78.5,39287,122.0
785,10,79.1,39401,114.0
786,10,80.0,39499,98.0
787,10,80.5,39632,133.0
788,10,81.1,39762,130.0
789,10,81.2,39850,88.0
790,10,81.9,39941,91.0
791,10,82.1,40047,106.0
792,10,82.2,40123,76.0
793,10,82.3,40220,97.0
794,10,82.9,40318,98.0
795,10,83.5,40398,80.0
796,10,83.4,40511,113.0
797,10,84.2,40711,200.0
798,10,85.1,40911,200.0
799,10,86.1,41111,200.0
800,10,87.1,41311,200.0
801,10,86.8,41386,75.0
802,10,87.2,41513,127.0
803,10,87.8,41589,76.0
804,10,88.3,41646,57.0
805,10,87.4,41663,17.0
806,10,87.0,41740,77.0
807,10,87.0,41819,79.0
808,10,86.5,41841,22.0
809,10,86.6,41869,28.0
810,10,87.4,41951,82.0
811,10,87.0,41999,48.0
812,10,87.3,42071,72.0
813,10,87.1,42104,33.0
814,10,86.9,42132,28.0
815,10,87.4,42196,64.0
816,10,87.1,42267,71.0
817,10,86.6,42308,41.0
818,10,86.7,42384,76.0
819,10,86.3,42455,71.0
820,10,86.8,42524,69.0
821,10,87.5,42598,74.0
822,10,87.1,42661,63.0
823,10,87.8,42750,89.0
824,10,87.6,42821,71.0
825,10,87.1,42882,61.0
826,10,86.6,42918,36.0
827,10,86.9,42993,75.0
828,10,87.4,43077,84.0
829,10,87.3,43146,69.0
830,10,86.6,43193,47.0
831,10,86.6,43266,73.0
832,10,86.5,43318,52.0
833,10,85.8,43394,76.0
834,10,85.1,43452,58.0
835,10,84.3,43511,59.0
836,10,83.3,43527,16.0
837,10,82.7,43580,53.0
838,10,82.7,43634,54.0
839,10,82.4,43661,27.0
840,10,81.8,43713,52.0
841,10,81.4,43765,52.0
842,10,80.6,43788,23.0
843,10,80.9,43828,40.0
844,10,80.4,43890,62.0
845,10,79.5,43948,58.0
846,10,79.3,43992,44.0
847,10,78.5,44004,12.0
848,10,78.0,44014,10.0
849,10,78.0,44075,61.0
850,10,77.7,44143,68.0
851,10,77.3,44161,18.0
852,10,77.9,44245,84.0
853,10,77.6,44305,60.0
854,10,77.4,44366,61.0
855,10,77.0,44444,78.0
856,10,76.8,44494,50.0
857,10,76.6,44569,75.0
858,10,76.5,44636,67.0
859,10,76.3,44697,61.0
860,10,76.4,44782,85.0
861,10,76.8,44859,77.0
862,10,76.8,44944,85.0
863,10,76.8,45032,88.0
864,10,76.5,45054,22.0
865,10,76.5,45136,82.0
866,10,76.4,45168,32.0
867,10,76.3,45244,76.0
868,10,75.5,45257,13.0
869,10,75.4,45328,71.0
870,10,75.3,45345,17.0
871,10,75.3,45356,11.0
872,10,74.7,45372,16.0
873,10,74.8,45455,83.0
874,10,74.1,45474,19.0
875,10,74.1,45576,102.0
876,10,75.2,45776,200.0
877,10,75.4,45882,106.0
878,10,75.3,45961,79.0
879,10,74.3,46011,50.0
880,10,73.1,46085,74.0
881,10,71.9,46160,75.0
882,10,71.9,46266,106.0
883,10,71.9,46358,92.0
884,10,71.5,46439,81.0
885,10,71.1,46509,70.0
886,10,71.0,46598,89.0
887,10,70.8,46709,111.0
